Model,Accuracy,ROC_AUC,Precision_Churn,Recall_Churn,F1_Churn,MCC,TP,TN,FP,FN
XGBoost,0.9723593287265548,0.9920933387600055,0.9528619528619529,0.8707692307692307,0.909967845659164,0.8949458226798317,283,1687,14,42
LightGBM,0.9689042448173741,0.9926124903902681,0.9337748344370861,0.8676923076923077,0.8995215311004785,0.8819871870955869,282,1681,20,43
Gradient Boosting,0.9649555774925962,0.9872889250667028,0.9568345323741008,0.8184615384615385,0.8822553897180763,0.8654448597952326,266,1689,12,59
Random Forest,0.9585389930898321,0.9850875050875052,0.9413919413919414,0.7907692307692308,0.8595317725752508,0.8397971518661427,257,1685,16,68
AdaBoost,0.9442250740375123,0.9735431646542757,0.9045801526717557,0.7292307692307692,0.807495741056218,0.7814775671788874,237,1676,25,88
Decision Tree Classifier,0.9333662388943732,0.871956767512323,0.7987421383647799,0.7815384615384615,0.7900466562986003,0.750514011545259,254,1637,64,71
Naive Bayes,0.8889437314906219,0.8440085017862796,0.6851851851851852,0.5692307692307692,0.6218487394957983,0.5607053569636866,185,1616,85,140
Logistic Regression,0.8657453109575518,0.8717695473251029,0.6221198156682027,0.4153846153846154,0.4981549815498155,0.4357335077931601,135,1619,82,190
