Model,Accuracy,ROC_AUC,Precision_Churn,Recall_Churn,F1_Churn,MCC,TP,TN,FP,FN
XGBoost,0.9644619940769991,0.9914909781576448,0.8798798798798799,0.9015384615384615,0.8905775075987842,0.8694589369565197,293,1661,40,32
LightGBM,0.9610069101678184,0.9911056844390178,0.8575581395348837,0.9076923076923077,0.8819133034379671,0.8590808340459892,295,1652,49,30
Gradient Boosting,0.9501480750246791,0.9872744539411206,0.8027027027027027,0.9138461538461539,0.8546762589928057,0.8272678948070592,297,1628,73,28
Random Forest,0.9511352418558736,0.9845430289874735,0.8403614457831325,0.8584615384615385,0.8493150684931506,0.8202248062417377,279,1648,53,46
AdaBoost,0.9220138203356367,0.9669714647492424,0.712468193384224,0.8615384615384616,0.7799442896935933,0.7379552380293685,280,1588,113,45
Decision Tree Classifier,0.918558736426456,0.8706055261610818,0.7222222222222222,0.8,0.7591240875912408,0.7116180821085115,260,1601,100,65
Logistic Regression,0.8262586377097729,0.8746565368787591,0.47368421052631576,0.7476923076923077,0.5799522673031027,0.4970534304469197,243,1431,270,82
Naive Bayes,0.7675222112537019,0.8160683760683761,0.38225806451612904,0.7292307692307692,0.5015873015873016,0.40141667325763386,237,1318,383,88
